# Simulation 3 (Up to date)
# 148 data points written for 6 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-9.4683,0,9.5204
0.01,0,0,-9.0722,0,9.1221
0.02,0,0,-8.7295,0,8.7776
0.03,0,0,-8.6446,0,8.6923
0.04,0,0,-8.5557,0,8.6029
0.05,0,0,-8.4422,0,8.4887
0.06,0,0,-8.3095,0,8.3553
0.07,0,0,-8.1373,0,8.1822
0.08,0,0,-8.0047,0,8.0488
0.09,0,0,-7.7826,0,7.8255
0.1,0,0,-7.5491,0,7.5907
0.11,0,0,-7.3792,0,7.4198
0.12,0,0,-7.25,0,7.2899
0.13,0,0,-7.0223,0,7.061
0.14,0,0,-6.7375,0,6.7746
0.15,0,0,-6.2797,0,6.3143
0.16,0,0,-5.566,0,5.5967
0.17,0,0,-4.7401,0,4.7663
0.18,0,0,-4.0981,0,4.1207
0.19,0,0,-3.3506,0,3.369
0.2,0,0,-2.6033,0,2.6177
0.21,0,0,-1.8588,0,1.869
0.22,0,0,-0.53563,0,0.53858
0.23,0,0,1.1021,0,1.1082
0.24,5.5241e-5,0.011055,1.1319,0.011116,1.1382
0.25,2.2254e-4,0.022412,1.4861,0.022535,1.4943
0.26,5.2112e-4,0.037313,4.0606,0.037519,4.083
0.27,0.0010975,0.077975,5.1841,0.078405,5.2126
0.28,0.0021367,0.12988,5.4736,0.1306,5.5037
0.29,0.0037095,0.18469,6.57,0.18571,6.6062
0.3,0.0058853,0.25047,7.9092,0.25185,7.9528
0.31,0.0087859,0.32966,8.1763,0.33148,8.2214
0.32,0.012492,0.41153,8.1728,0.41379,8.2179
0.33,0.017016,0.49336,8.4756,0.49608,8.5223
# Event LIFTOFF occurred at t=0.34 seconds
0.34,0.022374,0.57822,9.4164,0.5814,9.4683
0.35,0.028627,0.6725,10.802,0.6762,10.862
0.36,0.035893,0.78065,12.22,0.78495,12.287
0.37,0.044311,0.903,13.763,0.90797,13.839
0.38,0.05403,1.0408,15.492,1.0465,15.577
0.39,0.065213,1.1959,17.282,1.2025,17.377
0.4,0.078037,1.369,18.951,1.3765,19.056
0.41,0.092675,1.5587,20.336,1.5673,20.448
0.42,0.10928,1.7624,21.735,1.7721,21.854
0.43,0.12799,1.98,23.575,1.9909,23.705
0.44,0.14897,2.2161,25.992,2.2283,26.135
0.45,0.17243,2.4764,27.945,2.4901,28.099
0.46,0.1986,2.7563,27.751,2.7715,27.904
0.47,0.22755,3.0343,28.836,3.051,28.995
0.48,0.25934,3.3231,30.364,3.3414,30.531
0.49,0.29409,3.6272,31.91,3.6472,32.086
0.5,0.33196,3.9468,33.219,3.9686,33.402
0.51,0.37309,4.2796,33.96,4.3032,34.148
0.52,0.41758,4.6198,33.919,4.6452,34.106
0.53,0.46548,4.9596,33.709,4.9869,33.895
0.54,0.51676,5.2972,33.824,5.3264,34.011
0.55,0.57143,5.6361,34.2,5.6671,34.388
0.56,0.6295,5.9787,33.959,6.0116,34.146
0.57,0.69099,6.3188,33.553,6.3536,33.738
0.58,0.75586,6.655,33.285,6.6916,33.469
0.59,0.82408,6.9884,33.025,7.0269,33.207
0.6,0.89561,7.3192,32.582,7.3595,32.761
0.61,0.97044,7.6456,31.938,7.6877,32.114
# Event LAUNCHROD occurred at t=0.62 seconds
0.62,1.0485,7.9655,31.153,8.0093,31.359
0.635,1.1715,8.432,30.408,8.4789,30.607
0.6575,1.3689,9.1136,29.28,9.1649,29.47
0.69125,1.6931,10.102,28.013,10.159,28.194
0.74125,2.233,11.493,24.035,11.559,24.183
0.79125,2.8379,12.704,22.198,12.777,22.341
0.84125,3.501,13.821,20.107,13.902,20.253
0.89125,4.2173,14.833,17.185,14.922,17.33
0.94125,4.9805,15.697,14.585,15.794,14.735
0.99125,5.7837,16.43,10.769,16.535,10.921
1.0413,6.6187,16.971,8.1111,17.084,8.289
1.0913,7.4775,17.379,5.2394,17.499,5.4598
1.1413,8.353,17.641,2.9418,17.77,3.3052
1.1913,9.2387,17.788,1.7629,17.927,2.554
1.2413,10.13,17.875,-0.45687,18.027,1.8177
1.2913,11.023,17.851,-1.7305,18.016,2.4799
1.3413,11.914,17.764,-2.5065,17.942,3.082
1.3913,12.799,17.637,-3.214,17.831,3.7652
1.4413,13.677,17.474,-4.0657,17.686,4.5228
1.4913,14.545,17.269,-4.8619,17.5,5.2373
1.5413,15.403,17.024,-5.7672,17.276,6.0432
1.5913,16.247,16.734,-6.377,17.007,6.6016
1.6413,17.075,16.414,-6.4672,16.708,6.7318
1.6913,17.888,16.089,-7.2053,16.407,7.3877
1.7413,18.683,15.728,-7.7536,16.07,7.879
1.7913,19.46,15.338,-8.1244,15.705,8.2373
1.8413,20.217,14.931,-8.392,15.323,8.4899
1.8913,20.953,14.51,-8.4846,14.928,8.5945
1.9413,21.668,14.085,-8.9848,14.533,9.046
1.9913,22.361,13.636,-9.2546,14.111,9.2929
2.0413,23.031,13.173,-9.9564,13.676,9.961
# Event BURNOUT occurred at t=2.0913 seconds
2.0913,23.677,12.676,-10.171,13.202,10.172
2.1413,24.298,12.168,-10.147,12.716,10.148
2.1913,24.894,11.661,-10.125,12.234,10.125
2.2413,25.464,11.155,-10.107,11.755,10.108
2.2913,26.009,10.651,-10.039,11.279,10.039
2.3413,26.53,10.15,-10.002,10.808,10.002
2.3913,27.025,9.6509,-9.9711,10.34,9.9711
2.4412,27.495,9.1528,-9.9546,9.8766,9.9546
2.4912,27.94,8.6558,-9.9248,9.4176,9.9248
2.5412,28.36,8.1605,-9.8882,8.9636,9.8883
2.5912,28.756,7.6667,-9.8624,8.5152,9.8626
2.6412,29.127,7.1745,-9.8263,8.073,9.8268
2.6912,29.473,6.6839,-9.7959,7.6378,9.7967
2.7412,29.795,6.1949,-9.7632,7.2104,9.7643
2.7912,30.093,5.7077,-9.7246,6.7919,9.7263
2.8412,30.366,5.2225,-9.6826,6.3838,9.685
2.8912,30.615,4.7391,-9.6569,5.9879,9.6597
2.9412,30.84,4.2575,-9.6028,5.6062,9.6068
2.9912,31.041,3.7785,-9.5607,5.2416,9.5655
3.0412,31.218,3.302,-9.4952,4.8971,9.5017
3.0912,31.371,2.8278,-9.4813,4.5769,9.4875
3.1412,31.501,2.3544,-9.4494,4.2862,9.4559
3.1912,31.607,1.8837,-9.3704,4.0303,9.379
3.2412,31.689,1.4168,-9.3106,3.8149,9.3205
3.2912,31.748,0.95143,-9.3119,3.6474,9.3207
3.3412,31.784,0.48637,-9.2841,3.5347,9.2928
3.3912,31.797,0.022919,-9.2548,3.4812,9.2633
# Event APOGEE occurred at t=3.4412 seconds
3.4412,31.787,-0.4378,-9.1641,3.488,9.1746
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=3.4422 seconds
3.4729,31.768,-0.71922,-8.8811,7.5848,17.177
3.5052,31.741,-0.99261,-8.4623,7.1322,15.477
3.5414,31.699,-1.2855,-8.0862,6.6475,13.804
3.5815,31.642,-1.5955,-7.7205,6.2441,12.451
3.6248,31.566,-1.9122,-7.3172,6.0179,11.553
3.6704,31.471,-2.2252,-6.867,5.9408,10.971
3.7185,31.357,-2.535,-6.4338,5.8653,10.384
3.7717,31.213,-2.8622,-6.1524,5.5819,9.4008
3.8314,31.032,-3.2152,-5.9217,5.2584,8.3871
3.8956,30.814,-3.5668,-5.4682,5.2318,7.7763
3.9661,30.55,-3.9224,-5.043,5.1816,7.0922
4.0429,30.236,-4.267,-4.4917,5.2606,6.5172
4.1312,29.843,-4.6305,-4.1182,5.1774,5.6633
4.2336,29.35,-4.9932,-3.5388,5.2593,4.8787
4.3546,28.726,-5.3332,-2.8112,5.446,4.1348
4.5172,27.829,-5.6917,-2.2045,5.5427,3.0742
4.7148,26.681,-5.9292,-1.2021,5.8806,2.5307
4.984,25.063,-6.0923,-0.6059,6.037,1.8573
5.2208,23.619,-6.1028,-0.044403,6.2341,2.1117
5.7208,20.54,-6.2155,-0.22531,6.1068,0.41085
6.2208,17.451,-6.1407,0.14958,6.2296,0.68582
6.7208,14.373,-6.1692,-0.057023,6.1724,0.98977
7.2208,11.289,-6.1677,0.003072,6.18,0.57876
7.6566,8.6057,-6.1458,0.050181,6.2095,1.1473
8.0869,5.9599,-6.1519,-0.014099,6.1892,1.162
8.5869,2.8767,-6.1811,-0.058343,6.1535,0.23148
# Event GROUND_HIT occurred at t=9.0869 seconds
# Event SIMULATION_END occurred at t=9.0869 seconds
9.0869,-0.20944,-6.1634,0.035263,6.1816,0.13873
